"BehaviorSpace results (NetLogo 6.0.2)"
"codeN9b.nlogo"
"500xdata0"
"12/18/2017 11:42:17:533 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","vr","C","memory-limit","experiment","[step]","count turts"
"602","1","0","100","1","1999","11"
"604","1","0","100","1","1999","10"
"603","1","0","100","1","1999","10"
"605","1","0","100","1","1999","12"
"606","1","0","100","1","1999","10"
"608","1","0","100","1","1999","8"
"607","1","0","100","1","1999","11"
"609","1","0","100","1","1999","12"
"610","1","0","100","1","1999","11"
"611","1","0","100","1","1999","10"
"612","1","0","100","1","1999","11"
"613","1","0","100","1","1999","11"
"614","1","0","100","1","1999","12"
"615","1","0","100","1","1999","11"
"616","1","0","100","1","1999","12"
"617","1","0","100","1","1999","10"
"618","1","0","100","1","1999","11"
"619","1","0","100","1","1999","10"
"620","1","0","100","1","1999","13"
"621","1","0","100","1","1999","11"
"622","1","0","100","1","1999","12"
"623","1","0","100","1","1999","10"
"624","1","0","100","1","1999","11"
"625","1","0","100","1","1999","10"
"626","1","0","100","1","1999","13"
"627","1","0","100","1","1999","12"
"628","1","0","100","1","1999","12"
"629","1","0","100","1","1999","12"
"630","1","0","100","1","1999","11"
"631","1","0","100","1","1999","13"
"632","1","0","100","1","1999","10"
"633","1","0","100","1","1999","11"
"634","1","0","100","1","1999","10"
"635","1","0","100","1","1999","10"
"636","1","0","100","1","1999","10"
"637","1","0","100","1","1999","10"
"638","1","0","100","1","1999","10"
"639","1","0","100","1","1999","13"
"640","1","0","100","1","1999","12"
"641","1","0","100","1","1999","9"
"642","1","0","100","1","1999","11"
"643","1","0","100","1","1999","11"
"645","1","0","100","1","1999","12"
"644","1","0","100","1","1999","11"
"646","1","0","100","1","1999","12"
"647","1","0","100","1","1999","10"
"648","1","0","100","1","1999","9"
"649","1","0","100","1","1999","11"
"650","1","0","100","1","1999","12"
"651","1","0","100","1","1999","12"
"652","1","0","100","1","1999","11"
"653","1","0","100","1","1999","12"
"654","1","0","100","1","1999","13"
"655","1","0","100","1","1999","11"
"656","1","0","100","1","1999","12"
"657","1","0","100","1","1999","10"
"658","1","0","100","1","1999","12"
"660","1","0","100","1","1999","9"
"659","1","0","100","1","1999","10"
"661","1","0","100","1","1999","10"
"662","1","0","100","1","1999","8"
"664","1","0","100","1","1999","10"
"663","1","0","100","1","1999","13"
"665","1","0","100","1","1999","13"
"666","1","0","100","1","1999","11"
"668","1","0","100","1","1999","11"
"667","1","0","100","1","1999","13"
"669","1","0","100","1","1999","12"
"670","1","0","100","1","1999","11"
"671","1","0","100","1","1999","11"
"672","1","0","100","1","1999","13"
"673","1","0","100","1","1999","12"
"674","1","0","100","1","1999","11"
"675","1","0","100","1","1999","12"
"676","1","0","100","1","1999","12"
"677","1","0","100","1","1999","11"
"678","1","0","100","1","1999","10"
"679","1","0","100","1","1999","9"
"680","1","0","100","1","1999","10"
"682","1","0","100","1","1999","11"
"681","1","0","100","1","1999","11"
"683","1","0","100","1","1999","11"
"684","1","0","100","1","1999","10"
