"BehaviorSpace results (NetLogo 6.0.2)"
"codeN9b.nlogo"
"500xdata-Cs"
"12/17/2017 12:47:00:365 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","vr","C","memory-limit","experiment","[step]","count turts with [cooperative?]","count turts"
"405","2","10","100","1","1999","1","24"
"404","2","10","100","1","1999","0","25"
"406","2","10","100","1","1999","0","21"
"407","2","10","100","1","1999","0","25"
"409","2","10","100","1","1999","0","22"
"410","2","10","100","1","1999","0","22"
"408","2","10","100","1","1999","1","24"
"411","2","10","100","1","1999","0","21"
"412","2","10","100","1","1999","0","23"
"413","2","10","100","1","1999","0","24"
"414","2","10","100","1","1999","0","25"
"415","2","10","100","1","1999","0","22"
"416","2","10","100","1","1999","0","23"
"418","2","10","100","1","1999","0","21"
"417","2","10","100","1","1999","0","23"
"419","2","10","100","1","1999","1","23"
"422","2","10","100","1","1999","0","21"
"421","2","10","100","1","1999","0","24"
"420","2","10","100","1","1999","0","25"
"423","2","10","100","1","1999","0","25"
"424","2","10","100","1","1999","0","23"
"425","2","10","100","1","1999","0","22"
"426","2","10","100","1","1999","0","22"
"427","2","10","100","1","1999","0","22"
"428","2","10","100","1","1999","0","24"
"429","2","10","100","1","1999","0","21"
"430","2","10","100","1","1999","0","22"
"431","2","10","100","1","1999","0","24"
"432","2","10","100","1","1999","0","23"
"433","2","10","100","1","1999","0","22"
"434","2","10","100","1","1999","0","22"
"435","2","10","100","1","1999","1","24"
"437","2","10","100","1","1999","0","22"
"438","2","10","100","1","1999","0","20"
"436","2","10","100","1","1999","0","24"
"439","2","10","100","1","1999","0","20"
"440","2","10","100","1","1999","0","24"
"441","2","10","100","1","1999","0","22"
"442","2","10","100","1","1999","0","23"
"443","2","10","100","1","1999","1","26"
"444","2","10","100","1","1999","0","23"
"445","2","10","100","1","1999","0","22"
"446","2","10","100","1","1999","0","23"
"447","2","10","100","1","1999","0","23"
"448","2","10","100","1","1999","0","20"
"450","2","10","100","1","1999","0","24"
"449","2","10","100","1","1999","0","22"
"451","2","10","100","1","1999","0","24"
"452","2","10","100","1","1999","0","21"
"453","2","10","100","1","1999","0","21"
"454","2","10","100","1","1999","0","24"
"455","2","10","100","1","1999","0","22"
"456","2","10","100","1","1999","0","20"
"457","2","10","100","1","1999","0","21"
"459","2","10","100","1","1999","0","24"
"458","2","10","100","1","1999","0","24"
"460","2","10","100","1","1999","0","21"
"461","2","10","100","1","1999","1","24"
"462","2","10","100","1","1999","1","22"
"463","2","10","100","1","1999","0","23"
"464","2","10","100","1","1999","0","23"
"465","2","10","100","1","1999","0","23"
"466","2","10","100","1","1999","0","21"
"467","2","10","100","1","1999","0","25"
"468","2","10","100","1","1999","1","25"
"469","2","10","100","1","1999","0","22"
"470","2","10","100","1","1999","1","24"
"471","2","10","100","1","1999","0","24"
"472","2","10","100","1","1999","0","22"
"473","2","10","100","1","1999","0","22"
"474","2","10","100","1","1999","0","24"
"475","2","10","100","1","1999","0","21"
"476","2","10","100","1","1999","0","23"
"477","2","10","100","1","1999","1","23"
"478","2","10","100","1","1999","0","24"
"479","2","10","100","1","1999","0","23"
"480","2","10","100","1","1999","0","23"
"481","2","10","100","1","1999","0","21"
"482","2","10","100","1","1999","0","21"
"483","2","10","100","1","1999","0","22"
"484","2","10","100","1","1999","0","24"
"485","2","10","100","1","1999","0","24"
"486","2","10","100","1","1999","0","23"
"487","2","10","100","1","1999","1","23"
"488","2","10","100","1","1999","1","24"
"490","2","10","100","1","1999","0","23"
"489","2","10","100","1","1999","0","24"
"491","2","10","100","1","1999","0","23"
"492","2","10","100","1","1999","0","24"
"493","2","10","100","1","1999","0","24"
"494","2","10","100","1","1999","0","21"
"495","2","10","100","1","1999","0","22"
"496","2","10","100","1","1999","0","24"
"497","2","10","100","1","1999","0","22"
"498","2","10","100","1","1999","0","23"
"499","2","10","100","1","1999","0","21"
"501","2","10","100","2","1999","1","21"
"500","2","10","100","1","1999","0","22"
"503","2","10","100","2","1999","0","21"
"502","2","10","100","2","1999","1","24"
"504","2","10","100","2","1999","0","21"
"505","2","10","100","2","1999","0","23"
"507","2","10","100","2","1999","0","24"
"506","2","10","100","2","1999","1","22"
"508","2","10","100","2","1999","0","22"
"509","2","10","100","2","1999","0","22"
"510","2","10","100","2","1999","0","21"
"511","2","10","100","2","1999","1","23"
"512","2","10","100","2","1999","0","23"
"513","2","10","100","2","1999","0","22"
"514","2","10","100","2","1999","0","21"
"515","2","10","100","2","1999","0","23"
"516","2","10","100","2","1999","0","22"
"517","2","10","100","2","1999","0","24"
"518","2","10","100","2","1999","0","23"
"519","2","10","100","2","1999","0","21"
"520","2","10","100","2","1999","0","24"
"521","2","10","100","2","1999","0","22"
"522","2","10","100","2","1999","0","22"
"523","2","10","100","2","1999","0","22"
"524","2","10","100","2","1999","0","24"
"525","2","10","100","2","1999","0","25"
"526","2","10","100","2","1999","0","22"
"527","2","10","100","2","1999","0","24"
"528","2","10","100","2","1999","0","25"
"529","2","10","100","2","1999","0","23"
"530","2","10","100","2","1999","1","23"
"531","2","10","100","2","1999","1","22"
"532","2","10","100","2","1999","0","24"
"533","2","10","100","2","1999","0","24"
"534","2","10","100","2","1999","0","22"
"535","2","10","100","2","1999","1","23"
"536","2","10","100","2","1999","1","23"
"537","2","10","100","2","1999","0","22"
"538","2","10","100","2","1999","1","25"
"539","2","10","100","2","1999","0","25"
"540","2","10","100","2","1999","0","22"
"541","2","10","100","2","1999","0","23"
"542","2","10","100","2","1999","0","23"
"543","2","10","100","2","1999","0","22"
"544","2","10","100","2","1999","0","22"
"545","2","10","100","2","1999","0","21"
"546","2","10","100","2","1999","0","22"
"547","2","10","100","2","1999","0","23"
"548","2","10","100","2","1999","0","21"
"549","2","10","100","2","1999","0","20"
"550","2","10","100","2","1999","1","21"
"551","2","10","100","2","1999","0","24"
"552","2","10","100","2","1999","1","22"
"553","2","10","100","2","1999","1","22"
"554","2","10","100","2","1999","1","22"
"555","2","10","100","2","1999","1","22"
"556","2","10","100","2","1999","0","23"
"557","2","10","100","2","1999","0","21"
"558","2","10","100","2","1999","0","24"
"559","2","10","100","2","1999","0","22"
"560","2","10","100","2","1999","0","21"
"561","2","10","100","2","1999","0","22"
"562","2","10","100","2","1999","1","24"
"563","2","10","100","2","1999","0","22"
"564","2","10","100","2","1999","0","23"
"565","2","10","100","2","1999","0","20"
"566","2","10","100","2","1999","0","22"
"567","2","10","100","2","1999","2","25"
"568","2","10","100","2","1999","0","23"
"569","2","10","100","2","1999","0","22"
"570","2","10","100","2","1999","0","24"
"571","2","10","100","2","1999","1","24"
"572","2","10","100","2","1999","0","22"
"573","2","10","100","2","1999","2","26"
"574","2","10","100","2","1999","0","24"
"575","2","10","100","2","1999","0","22"
"576","2","10","100","2","1999","0","23"
"577","2","10","100","2","1999","0","23"
"579","2","10","100","2","1999","0","21"
"578","2","10","100","2","1999","0","21"
"580","2","10","100","2","1999","1","23"
"581","2","10","100","2","1999","0","19"
"582","2","10","100","2","1999","0","24"
"583","2","10","100","2","1999","0","23"
"584","2","10","100","2","1999","0","22"
"585","2","10","100","2","1999","0","22"
"586","2","10","100","2","1999","0","21"
"588","2","10","100","2","1999","0","23"
"587","2","10","100","2","1999","1","25"
"589","2","10","100","2","1999","0","23"
"590","2","10","100","2","1999","0","23"
"591","2","10","100","2","1999","0","22"
"592","2","10","100","2","1999","1","23"
"593","2","10","100","2","1999","0","24"
"594","2","10","100","2","1999","1","23"
"595","2","10","100","2","1999","1","23"
"596","2","10","100","2","1999","0","21"
